95,15,1
91,31,1
92,32,1
92,32,1
96,36,1
99,39,1
96,56,1
97,57,1
98,58,1
95,55,1
96,86,1
99,89,1
90,90,1
93,93,1
94,94,1
90,110,1
91,111,1
92,112,1
93,113,1
95,115,1
96,116,1
93,113,1
96,116,1
98,118,1
99,119,1
95,125,1
97,337,1
97,337,1
95,335,1
92,332,1
96,346,1
90,340,1
91,341,1
92,342,1
93,343,1
98,348,1
95,345,1
95,355,1
101,191,1
104,204,1
106,206,1
101,211,1
105,215,1
105,215,1
106,216,1
105,255,1
104,254,1
105,255,1
105,335,1
109,339,1
106,336,1
107,337,1
109,339,1
105,335,1
106,336,1
107,337,1
108,338,1
109,339,1
105,335,1
108,338,1
100,340,1
101,341,1
102,342,1
100,340,1
102,342,1
102,342,1
100,340,1
101,341,1
100,340,1
112,322,1
139,109,1
133,113,1
134,114,1
132,112,1
138,118,1
135,325,1
138,328,1
138,348,1
131,351,1
132,352,1
131,351,1
135,355,1
149,109,1
141,111,1
143,113,1
141,111,1
148,118,1
149,119,1
149,119,1
145,115,1
144,114,1
146,116,1
149,119,1
145,115,1
146,116,1
142,112,1
145,115,1
141,121,1
142,122,1
141,121,1
142,122,1
142,122,1
144,124,1
147,127,1
141,121,1
142,122,1
143,123,1
148,198,1
148,198,1
149,199,1
148,198,1
144,204,1
146,206,1
141,201,1
143,203,1
147,207,1
148,208,1
143,203,1
145,205,1
146,206,1
148,298,1
145,295,1
147,297,1
148,298,1
147,297,1
147,297,1
148,298,1
141,301,1
145,305,1
146,306,1
141,301,1
142,302,1
144,304,1
145,305,1
146,306,1
147,307,1
149,309,1
149,319,1
149,319,1
148,318,1
149,319,1
145,315,1
146,316,1
148,318,1
144,314,1
145,315,1
146,316,1
149,319,1
141,311,1
142,312,1
148,318,1
146,326,1
145,325,1
146,326,1
140,320,1
143,323,1
148,328,1
149,329,1
142,322,1
143,323,1
145,325,1
146,326,1
140,320,1
141,321,1
142,322,1
143,323,1
144,324,1
145,325,1
140,320,1
141,321,1
144,324,1
145,325,1
146,326,1
147,327,1
148,328,1
149,329,1
141,321,1
144,324,1
146,326,1
148,328,1
141,321,1
141,321,1
146,326,1
149,329,1
140,330,1
141,331,1
142,332,1
144,354,1
148,358,1
154,114,1
159,119,1
151,111,1
154,114,1
157,117,1
150,110,1
151,111,1
153,113,1
150,110,1
151,111,1
155,115,1
159,119,1
151,111,1
152,112,1
151,111,1
152,112,1
151,111,1
152,112,1
153,113,1
155,115,1
151,111,1
152,112,1
151,111,1
157,127,1
159,129,1
154,124,1
159,129,1
154,124,1
156,126,1
159,129,1
151,131,1
152,132,1
151,131,1
155,135,1
156,136,1
158,138,1
151,131,1
156,136,1
157,137,1
158,198,1
158,198,1
156,196,1
158,198,1
154,194,1
157,197,1
158,198,1
155,195,1
156,196,1
154,194,1
155,195,1
156,196,1
150,200,1
155,205,1
151,201,1
152,202,1
153,203,1
156,206,1
157,207,1
151,201,1
154,204,1
157,207,1
157,207,1
153,203,1
156,206,1
158,208,1
158,208,1
157,207,1
154,204,1
156,206,1
150,210,1
151,211,1
151,211,1
150,210,1
155,235,1
156,296,1
158,298,1
159,299,1
156,296,1
158,298,1
155,295,1
157,297,1
156,296,1
158,298,1
159,299,1
154,294,1
156,296,1
157,297,1
158,298,1
159,299,1
155,295,1
157,297,1
159,299,1
156,296,1
156,296,1
158,298,1
158,308,1
159,309,1
150,300,1
151,301,1
152,302,1
156,306,1
157,307,1
158,308,1
159,309,1
150,300,1
151,301,1
152,302,1
152,302,1
153,303,1
150,300,1
151,301,1
152,302,1
156,306,1
158,308,1
150,300,1
150,300,1
155,305,1
150,300,1
158,318,1
156,316,1
159,319,1
156,316,1
158,318,1
157,317,1
151,311,1
153,313,1
157,317,1
153,313,1
159,319,1
153,313,1
154,314,1
155,315,1
158,318,1
150,320,1
151,321,1
152,322,1
153,323,1
154,324,1
158,328,1
151,321,1
156,326,1
158,328,1
151,321,1
151,321,1
152,322,1
153,323,1
150,320,1
150,330,1
151,331,1
150,330,1
150,330,1
151,331,1
155,345,1
165,105,1
166,106,1
161,111,1
164,114,1
164,114,1
161,111,1
169,129,1
165,135,1
162,132,1
163,133,1
166,136,1
164,134,1
166,136,1
169,139,1
165,135,1
167,137,1
163,133,1
161,131,1
162,132,1
167,137,1
168,138,1
167,197,1
166,196,1
163,193,1
165,195,1
164,194,1
165,195,1
167,207,1
161,211,1
161,211,1
160,210,1
165,215,1
163,213,1
164,214,1
163,213,1
168,228,1
167,237,1
167,307,1
165,315,1
162,312,1
166,316,1
165,325,1
171,101,1
174,134,1
176,136,1
174,144,1
174,144,1
179,209,1
179,209,1
179,209,1
173,213,1
172,212,1
173,213,1
175,215,1
179,219,1
172,212,1
173,213,1
175,215,1
170,210,1
177,217,1
177,287,1
176,286,1
177,287,1
178,288,1
175,295,1
170,290,1
171,291,1
172,292,1
175,295,1
170,290,1
171,291,1
175,325,1
